session,prolific_id,group_id,id_in_session,round_number,contribution,choice,rt,condition,order_idx,msg_clean,msg_json,msg_html
nwp0ro3k,5b5b9fdfe36fe200014d239a,KwHesjTU,1,1,4,wwf,48845,3,5,"number=1,sender=other,msg=I want to give to wwf;number=2,sender=other,msg=I want to give 4 pounds;number=3,sender=me,msg=I want to give to wwf;number=4,sender=me,msg=Ok!;number=5,sender=other,msg=Ok!;number=6,sender=other,msg=I will validate;number=7,sender=me,msg=I will validate;","[{""number"":1,""sender"":""other"",""msg"":""I want to give to wwf""},{""number"":2,""sender"":""other"",""msg"":""I want to give 4 pounds""},{""number"":3,""sender"":""me"",""msg"":""I want to give to wwf""},{""number"":4,""sender"":""me"",""msg"":""Ok!""},{""number"":5,""sender"":""other"",""msg"":""Ok!""},{""number"":6,""sender"":""other"",""msg"":""I will validate""},{""number"":7,""sender"":""me"",""msg"":""I will validate""}]","<div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1527477306525"">Participant 2</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1304272458198"">Participant 2</span><span class=""otree-chat__body"">I want to give 4 pounds</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""106622406983"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""451901163529"">Participant 1 (Me)</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1285653236027"">Participant 2</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1174507942030"">Participant 2</span><span class=""otree-chat__body"">I will validate</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""617370935480"">Participant 1 (Me)</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,611ebda5c41d4ebe65ef0995,KwHesjTU,2,1,4,wwf,75116,3,5,"number=1,sender=me,msg=I want to give to wwf;number=2,sender=me,msg=I want to give 4 pounds;number=3,sender=other,msg=I want to give to wwf;number=4,sender=other,msg=Ok!;number=5,sender=me,msg=Ok!;number=6,sender=me,msg=I will validate;number=7,sender=other,msg=I will validate;","[{""number"":1,""sender"":""me"",""msg"":""I want to give to wwf""},{""number"":2,""sender"":""me"",""msg"":""I want to give 4 pounds""},{""number"":3,""sender"":""other"",""msg"":""I want to give to wwf""},{""number"":4,""sender"":""other"",""msg"":""Ok!""},{""number"":5,""sender"":""me"",""msg"":""Ok!""},{""number"":6,""sender"":""me"",""msg"":""I will validate""},{""number"":7,""sender"":""other"",""msg"":""I will validate""}]","<div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""719921997726"">Participant 2 (Me)</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""579903717063"">Participant 2 (Me)</span><span class=""otree-chat__body"">I want to give 4 pounds</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1042055348302"">Participant 1</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""581452714078"">Participant 1</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""623736203133"">Participant 2 (Me)</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""359829546818"">Participant 2 (Me)</span><span class=""otree-chat__body"">I will validate</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""613326636105"">Participant 1</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,63bc6a2384a7a5ae4165eede,hAzBcY55,3,1,6,wwf,632765,2,2,"number=1,sender=me,msg=I want to give to wwf;number=2,sender=me,msg=I want to give 5 pounds;number=3,sender=me,msg=I want to give 6 pounds;number=4,sender=me,msg=I want to give to wwf;number=5,sender=me,msg=I want to give to the nature conservancy;number=6,sender=me,msg=I want to give to wwf;number=7,sender=me,msg=I will validate;","[{""number"":1,""sender"":""me"",""msg"":""I want to give to wwf""},{""number"":2,""sender"":""me"",""msg"":""I want to give 5 pounds""},{""number"":3,""sender"":""me"",""msg"":""I want to give 6 pounds""},{""number"":4,""sender"":""me"",""msg"":""I want to give to wwf""},{""number"":5,""sender"":""me"",""msg"":""I want to give to the nature conservancy""},{""number"":6,""sender"":""me"",""msg"":""I want to give to wwf""},{""number"":7,""sender"":""me"",""msg"":""I will validate""}]","<div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1042777036833"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1144977831314"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give 5 pounds</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""760756878595"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give 6 pounds</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1141649285304"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""47335566732"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to the nature conservancy</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""663872755400"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1589676510790"">Participant 1 (Me)</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,13gE0T7312y0l5zL5969nOSZ,hAzBcY55,4,1,-1,,-1,-1,2,,,
nwp0ro3k,632b0d2e1276c0a0545e8465,UuXJiBt6,5,1,6,save the children,78205,1,0,"number=1,sender=me,msg=I want to give to save the children;number=2,sender=other,msg=Ok!;number=3,sender=other,msg=I want to give 6 pounds;number=4,sender=me,msg=Ok!;number=5,sender=me,msg=I will validate;number=6,sender=other,msg=I will validate;","[{""number"":1,""sender"":""me"",""msg"":""I want to give to save the children""},{""number"":2,""sender"":""other"",""msg"":""Ok!""},{""number"":3,""sender"":""other"",""msg"":""I want to give 6 pounds""},{""number"":4,""sender"":""me"",""msg"":""Ok!""},{""number"":5,""sender"":""me"",""msg"":""I will validate""},{""number"":6,""sender"":""other"",""msg"":""I will validate""}]","<div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""176411932749"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to save the children</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""876694202934"">Participant 2</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1117743898645"">Participant 2</span><span class=""otree-chat__body"">I want to give 6 pounds</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""29904485972"">Participant 1 (Me)</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""533869242159"">Participant 1 (Me)</span><span class=""otree-chat__body"">I will validate</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""527584199735"">Participant 2</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,6053cb3b322afff5f6ec4cd1,UuXJiBt6,6,1,6,save the children,76372,1,0,"number=1,sender=other,msg=I want to give to save the children;number=2,sender=me,msg=Ok!;number=3,sender=me,msg=I want to give 6 pounds;number=4,sender=other,msg=Ok!;number=5,sender=other,msg=I will validate;number=6,sender=me,msg=I will validate;","[{""number"":1,""sender"":""other"",""msg"":""I want to give to save the children""},{""number"":2,""sender"":""me"",""msg"":""Ok!""},{""number"":3,""sender"":""me"",""msg"":""I want to give 6 pounds""},{""number"":4,""sender"":""other"",""msg"":""Ok!""},{""number"":5,""sender"":""other"",""msg"":""I will validate""},{""number"":6,""sender"":""me"",""msg"":""I will validate""}]","<div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""259563492384"">Participant 1</span><span class=""otree-chat__body"">I want to give to save the children</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""714421141523"">Participant 2 (Me)</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1092581221790"">Participant 2 (Me)</span><span class=""otree-chat__body"">I want to give 6 pounds</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1049694827422"">Participant 1</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1425103265590"">Participant 1</span><span class=""otree-chat__body"">I will validate</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""80490664987"">Participant 2 (Me)</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,5b5b9fdfe36fe200014d239a,KwHesjTU,1,2,4,wwf,33158,2,5,"number=1,sender=me,msg=I want to give to wwf;number=2,sender=other,msg=Ok!;number=3,sender=me,msg=I want to give 4 pounds;number=4,sender=other,msg=Ok!;number=5,sender=me,msg=I will validate;number=6,sender=other,msg=I will validate;","[{""number"":1,""sender"":""me"",""msg"":""I want to give to wwf""},{""number"":2,""sender"":""other"",""msg"":""Ok!""},{""number"":3,""sender"":""me"",""msg"":""I want to give 4 pounds""},{""number"":4,""sender"":""other"",""msg"":""Ok!""},{""number"":5,""sender"":""me"",""msg"":""I will validate""},{""number"":6,""sender"":""other"",""msg"":""I will validate""}]","<div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1259302222342"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1635568672242"">Participant 2</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""428641369087"">Participant 1 (Me)</span><span class=""otree-chat__body"">I want to give 4 pounds</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""785645658122"">Participant 2</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""642832192815"">Participant 1 (Me)</span><span class=""otree-chat__body"">I will validate</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""1296241376450"">Participant 2</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,611ebda5c41d4ebe65ef0995,KwHesjTU,2,2,4,wwf,31950,2,5,"number=1,sender=other,msg=I want to give to wwf;number=2,sender=me,msg=Ok!;number=3,sender=other,msg=I want to give 4 pounds;number=4,sender=me,msg=Ok!;number=5,sender=other,msg=I will validate;number=6,sender=me,msg=I will validate;","[{""number"":1,""sender"":""other"",""msg"":""I want to give to wwf""},{""number"":2,""sender"":""me"",""msg"":""Ok!""},{""number"":3,""sender"":""other"",""msg"":""I want to give 4 pounds""},{""number"":4,""sender"":""me"",""msg"":""Ok!""},{""number"":5,""sender"":""other"",""msg"":""I will validate""},{""number"":6,""sender"":""me"",""msg"":""I will validate""}]","<div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""32017286881"">Participant 1</span><span class=""otree-chat__body"">I want to give to wwf</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""556241007943"">Participant 2 (Me)</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""312945071217"">Participant 1</span><span class=""otree-chat__body"">I want to give 4 pounds</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""131807519449"">Participant 2 (Me)</span><span class=""otree-chat__body"">Ok!</span></div><div class=""otree-chat__msg-other stamp-other"" style=""display: block;""><span class=""otree-chat__nickname"" id=""854453651024"">Participant 1</span><span class=""otree-chat__body"">I will validate</span></div><div class=""otree-chat__msg stamp-me"" style=""display: block;""><span class=""otree-chat__nickname"" id=""800828485761"">Participant 2 (Me)</span><span class=""otree-chat__body"">I will validate</span></div>"
nwp0ro3k,63bc6a2384a7a5ae4165eede,hAzBcY55,3,2,-1,,-1,-1,2,,,
nwp0ro3k,13gE0T7312y0l5zL5969nOSZ,hAzBcY55,4,2,-1,,-1,-1,2,,,
